GeneID	AIMs	upper
IV00_00033987	---	CHECK
IV00_00033993	---	CHECK
IV00_00033994	---	CHECK
IV00_00033998	---	CHECK
IV00_00033985	---	CHECK
IV00_00034011	---	CHECK
IV00_00034327	---	CHECK
IV00_00034333	---	CHECK
IV00_00034324	---	CHECK
IV00_00034326	---	CHECK
IV00_00034329	---	CHECK
IV00_00034330	---	CHECK
IV00_00034334	---	CHECK
IV00_00034331	---	CHECK
IV00_00034323	---	CHECK
IV00_00034328	---	CHECK
IV00_00034821	---	CHECK
IV00_00034827	---	CHECK
IV00_00045973	---	CHECK
IV00_00018950	---	CHECK
IV00_00019539	---	CHECK
IV00_00019542	---	CHECK
IV00_00020894	---	CHECK
IV00_00051939	---	CHECK
IV00_00051931	---	CHECK
IV00_00051936	---	CHECK
IV00_00051932	---	CHECK
IV00_00051941	---	CHECK
IV00_00051935	---	CHECK
IV00_00051937	---	CHECK
IV00_00051924	---	CHECK
IV00_00015269	---	CHECK
IV00_00015272	---	CHECK
IV00_00015273	---	CHECK
IV00_00015290	---	CHECK
IV00_00015292	---	CHECK
IV00_00015283	---	CHECK
IV00_00015286	---	CHECK
IV00_00015282	---	CHECK
IV00_00015540	---	CHECK
